_time,user,action,search
2025-12-12T20:58:54.288+0800,kimjoe,search,"'search index=botsv3 
(
    (sourcetype=aws:cloudtrail eventName=""PutBucketAct"" userIdentity.userName=bstoll) 
    OR 
    (sourcetype=aws:s3:accesslogs bucket=""frothlywebcode"") 
    OR 
    (sourcetype=hardware) 
    OR 
    (sourcetype=WinEventLog:*)
)
| eval Investigation_Phase=case(
    match(sourcetype, ""cloudtrail""), ""1. AWS CloudTrail Analysis"",
    match(sourcetype, ""s3:accesslogs""), ""2. S3 Access Logs"",
    match(sourcetype, ""hardware""), ""3. Infrastructure Details"",
    match(sourcetype, ""WinEventLog""), ""4. Endpoint Investigation"",
    true(), ""Other""
)
| rex field=_raw ""ComputerName=(?<endpoint>[^\s]+)""
| rex field=_raw ""CPU_TYPE\s+(?<processor>.+)""
| rex field=_raw ""key=(?<s3_key>[^\s]+)""
| eval bucket_name=if(eventName=""PutBucketAct"", requestParameters.bucketName, null())
| eval event_id=if(eventName=""PutBucketAct"", eventID, null())
| eval mfa_field=""userIdentity.sessionContext.attributes.mfaAuthenticated""
| eval bud_username=""bstoll""
| eval target_bucket=""frothlywebcode""
| eval endpoint_user=lower(mvindex(split(endpoint, ""-""), 0))
| eval endpoint_relevance=if(endpoint=""BSTOLL-L.froth.ly"", ""PRIMARY SUSPECT WORKSTATION (Bud'"
2025-12-12T20:58:06.788+0800,kimjoe,search,"'search index=botsv3 
| eval case_id=""INV-2024-BUD-S3-COMPROMISE""
| eval timeline=strftime(_time, ""%Y-%m-%d %H:%M:%S"")
| eval data_source=case(
    match(sourcetype, ""cloudtrail""), ""AWS CloudTrail"",
    match(sourcetype, ""s3:accesslogs""), ""S3 Access Logs"", 
    match(sourcetype, ""hardware""), ""System Inventory"",
    match(sourcetype, ""WinEventLog""), ""Windows Security Logs"",
    true(), sourcetype
)

| rex field=_raw ""CPU_TYPE\s+(?<processor>.+)""
| rex field=_raw ""ComputerName=(?<endpoint>[^\s|]+)""
| rex field=_raw ""key=(?<s3_key>[^\s|]+)""
| rex field=_raw ""filename=(?<filename>[^\s|]+)""

| eval finding_category=case(
    eventName=""PutBucketAct"" AND userIdentity.userName=""bstoll"", ""MAIN COMPROMISE EVENT"",
    sourcetype=""aws:s3:accesslogs"" AND bucket=""frothlywebcode"" AND http_method=""PUT"", ""DATA EXFILTRATION"",
    match(processor, ""E5-2676""), ""INFRASTRUCTURE DETAIL"",
    match(endpoint, ""BSTOLL-L\.froth\.ly""), ""SUSPECT ENDPOINT ACTIVITY"",
    true(), ""BACKGROUND CONTEXT""
)

| eval finding_summary=case(
    finding_category=""MAIN COMPROMISE EVENT"",
        ""Bud (bstoll) executed PutBucketAct on "" + requestParameters.bucketName + "" (Event: "" + eventID + "")"",
    finding_category=""DATA EXFILTRATION"",
        ""File uploaded to S3: "" + coalesce(filename, s3_key),
    finding_category=""INFRASTRUCTURE DETAIL"",
        ""Web server processor identified: "" + replace(processor, ""^.*(E5-\d+).*$"", ""\1""),
    finding_category=""SUSPECT ENDPOINT ACTIVITY"",
        ""Primary suspect workstation identified: "" + endpoint + "" (Belongs to bstoll)"",
    true(), data_source + "" log entry""
)

| eval evidence_chain=case(
    eventID=""ab45689d-69cd-41e7-8705-5350402cf7ac"", ""PUT 1: Initial bucket modification"",
    filename=""OPEN_BUCKET_PLEASE_FIX.txt"", ""PUT 2: Malicious file upload"",
    endpoint=""BSTOLL-L.froth.ly"", ""PUT 3: Source endpoint identification""
)

| eval investigation_notes=case(
    match(finding_summary, ""Bud""), ""**CRITICAL** - User bstoll made S3 bucket public"",
    match(finding_summary, ""OPEN_BUCKET""), ""**CRITICAL** - Malicious file uploaded"",
    match(finding_summary, ""BSTOLL-L""), ""**KEY FINDING** - Suspect workstation identified"",
    match(finding_summary, ""E5-2676""), ""**CONTEXT** - Infrastructure detail"",
    true(), ""Supporting evidence""
)

| search finding_category!=""BACKGROUND CONTEXT"" OR evidence_chain=""*""
| stats 
    earliest(timeline) as First_Seen,
    latest(timeline) as Last_Seen,
    values(finding_summary) as Findings,
    values(evidence_chain) as Evidence_Chain,
    values(investigation_notes) as Priority
    by finding_category
| sort finding_category
| table finding_category, Findings, Evidence_Chain, First_Seen, Last_Seen, Priority
| rename 
    finding_category as ""Investigation Category"",
    Findings as ""Key Evidence"",
    Evidence_Chain as ""Attack Sequence"",
    Priority as ""Investigation Priority""'"
2025-12-12T20:57:54.354+0800,kimjoe,search,"'search index=botsv3 
(
    (sourcetype=aws:cloudtrail eventName=""PutBucketAct"" userIdentity.userName=bstoll) 
    OR 
    (sourcetype=aws:s3:accesslogs bucket=""frothlywebcode"") 
    OR 
    (sourcetype=hardware) 
    OR 
    (sourcetype=WinEventLog:*)
)
| eval Investigation_Phase=case(
    match(sourcetype, ""cloudtrail""), ""1. AWS CloudTrail Analysis"",
    match(sourcetype, ""s3:accesslogs""), ""2. S3 Access Logs"",
    match(sourcetype, ""hardware""), ""3. Infrastructure Details"",
    match(sourcetype, ""WinEventLog""), ""4. Endpoint Investigation"",
    true(), ""Other""
)
| rex field=_raw ""ComputerName=(?<endpoint>[^\s]+)""
| rex field=_raw ""CPU_TYPE\s+(?<processor>.+)""
| rex field=_raw ""key=(?<s3_key>[^\s]+)""
| eval bucket_name=if(eventName=""PutBucketAct"", requestParameters.bucketName, null())
| eval event_id=if(eventName=""PutBucketAct"", eventID, null())
| eval mfa_field=""userIdentity.sessionContext.attributes.mfaAuthenticated""
| eval bud_username=""bstoll""
| eval target_bucket=""frothlywebcode""
| eval endpoint_user=lower(mvindex(split(endpoint, ""-""), 0))
| eval endpoint_relevance=if(endpoint=""BSTOLL-L.froth.ly"", ""PRIMARY SUSPECT WORKSTATION (Bud'"
2025-12-12T20:57:47.566+0800,kimjoe,search,"'search index=botsv3 
(
    (sourcetype=aws:cloudtrail eventName=""PutBucketAct"" userIdentity.userName=bstoll) 
    OR 
    (sourcetype=aws:s3:accesslogs bucket=""frothlywebcode"") 
    OR 
    (sourcetype=hardware) 
    OR 
    (sourcetype=WinEventLog:*)
)
| eval Investigation_Phase=case(
    match(sourcetype, ""cloudtrail""), ""1. AWS CloudTrail Analysis"",
    match(sourcetype, ""s3:accesslogs""), ""2. S3 Access Logs"",
    match(sourcetype, ""hardware""), ""3. Infrastructure Details"",
    match(sourcetype, ""WinEventLog""), ""4. Endpoint Investigation"",
    true(), ""Other""
)
| rex field=_raw ""ComputerName=(?<endpoint>[^\s]+)""
| rex field=_raw ""CPU_TYPE\s+(?<processor>.+)""
| rex field=_raw ""key=(?<s3_key>[^\s]+)""
| eval bucket_name=if(eventName=""PutBucketAct"", requestParameters.bucketName, null())
| eval event_id=if(eventName=""PutBucketAct"", eventID, null())
| eval mfa_field=""userIdentity.sessionContext.attributes.mfaAuthenticated""
| eval bud_username=""bstoll""
| eval target_bucket=""frothlywebcode""
| eval endpoint_user=lower(mvindex(split(endpoint, ""-""), 0))
| eval endpoint_relevance=if(endpoint=""BSTOLL-L.froth.ly"", ""PRIMARY SUSPECT WORKSTATION (Bud'"
2025-12-12T20:57:46.714+0800,kimjoe,search,"'search index=botsv3 
(
    (sourcetype=aws:cloudtrail eventName=""PutBucketAct"" userIdentity.userName=bstoll) 
    OR 
    (sourcetype=aws:s3:accesslogs bucket=""frothlywebcode"") 
    OR 
    (sourcetype=hardware) 
    OR 
    (sourcetype=WinEventLog:*)
)
| eval Investigation_Phase=case(
    match(sourcetype, ""cloudtrail""), ""1. AWS CloudTrail Analysis"",
    match(sourcetype, ""s3:accesslogs""), ""2. S3 Access Logs"",
    match(sourcetype, ""hardware""), ""3. Infrastructure Details"",
    match(sourcetype, ""WinEventLog""), ""4. Endpoint Investigation"",
    true(), ""Other""
)
| rex field=_raw ""ComputerName=(?<endpoint>[^\s]+)""
| rex field=_raw ""CPU_TYPE\s+(?<processor>.+)""
| rex field=_raw ""key=(?<s3_key>[^\s]+)""
| eval bucket_name=if(eventName=""PutBucketAct"", requestParameters.bucketName, null())
| eval event_id=if(eventName=""PutBucketAct"", eventID, null())
| eval mfa_field=""userIdentity.sessionContext.attributes.mfaAuthenticated""
| eval bud_username=""bstoll""
| eval target_bucket=""frothlywebcode""
| eval endpoint_user=lower(mvindex(split(endpoint, ""-""), 0))
| eval endpoint_relevance=if(endpoint=""BSTOLL-L.froth.ly"", ""PRIMARY SUSPECT WORKSTATION (Bud'"
2025-12-12T20:57:24.283+0800,kimjoe,search,"'search index=botsv3 
(
    (sourcetype=aws:cloudtrail eventName=""PutBucketAct"" userIdentity.userName=bstoll) 
    OR 
    (sourcetype=aws:s3:accesslogs bucket=""frothlywebcode"") 
    OR 
    (sourcetype=hardware) 
    OR 
    (sourcetype=WinEventLog:*)
)
| eval Investigation_Phase=case(
    match(sourcetype, ""cloudtrail""), ""1. AWS CloudTrail Analysis"",
    match(sourcetype, ""s3:accesslogs""), ""2. S3 Access Logs"",
    match(sourcetype, ""hardware""), ""3. Infrastructure Details"",
    match(sourcetype, ""WinEventLog""), ""4. Endpoint Investigation"",
    true(), ""Other""
)
| rex field=_raw ""ComputerName=(?<endpoint>[^\s]+)""
| rex field=_raw ""CPU_TYPE\s+(?<processor>.+)""
| rex field=_raw ""key=(?<s3_key>[^\s]+)""
| eval bucket_name=if(eventName=""PutBucketAct"", requestParameters.bucketName, null())
| eval event_id=if(eventName=""PutBucketAct"", eventID, null())
| eval mfa_field=""userIdentity.sessionContext.attributes.mfaAuthenticated""
| eval bud_username=""bstoll""
| eval target_bucket=""frothlywebcode""
| eval endpoint_user=lower(mvindex(split(endpoint, ""-""), 0))
| eval endpoint_relevance=if(endpoint=""BSTOLL-L.froth.ly"", ""PRIMARY SUSPECT WORKSTATION (Bud'"
2025-12-12T20:57:02.332+0800,kimjoe,search,"'search index=botsv3 
(
    (sourcetype=aws:cloudtrail eventName=""PutBucketAct"" userIdentity.userName=bstoll) 
    OR 
    (sourcetype=aws:s3:accesslogs bucket=""frothlywebcode"") 
    OR 
    (sourcetype=hardware) 
    OR 
    (sourcetype=WinEventLog:*)
)
| eval Investigation_Phase=case(
    match(sourcetype, ""cloudtrail""), ""1. AWS CloudTrail Analysis"",
    match(sourcetype, ""s3:accesslogs""), ""2. S3 Access Logs"",
    match(sourcetype, ""hardware""), ""3. Infrastructure Details"",
    match(sourcetype, ""WinEventLog""), ""4. Endpoint Investigation"",
    true(), ""Other""
)
| rex field=_raw ""ComputerName=(?<endpoint>[^\s]+)""
| rex field=_raw ""CPU_TYPE\s+(?<processor>.+)""
| rex field=_raw ""key=(?<s3_key>[^\s]+)""
| eval bucket_name=if(eventName=""PutBucketAct"", requestParameters.bucketName, null())
| eval event_id=if(eventName=""PutBucketAct"", eventID, null())
| eval mfa_field=""userIdentity.sessionContext.attributes.mfaAuthenticated""
| eval bud_username=""bstoll""
| eval target_bucket=""frothlywebcode""
| eval endpoint_user=lower(mvindex(split(endpoint, ""-""), 0))
| eval endpoint_relevance=if(endpoint=""BSTOLL-L.froth.ly"", ""PRIMARY SUSPECT WORKSTATION (Bud'"
2025-12-12T20:56:54.278+0800,kimjoe,search,"'search index=botsv3 
| eval case_id=""INV-2024-BUD-S3-COMPROMISE""
| eval timeline=strftime(_time, ""%Y-%m-%d %H:%M:%S"")
| eval data_source=case(
    match(sourcetype, ""cloudtrail""), ""AWS CloudTrail"",
    match(sourcetype, ""s3:accesslogs""), ""S3 Access Logs"", 
    match(sourcetype, ""hardware""), ""System Inventory"",
    match(sourcetype, ""WinEventLog""), ""Windows Security Logs"",
    true(), sourcetype
)

| rex field=_raw ""CPU_TYPE\s+(?<processor>.+)""
| rex field=_raw ""ComputerName=(?<endpoint>[^\s|]+)""
| rex field=_raw ""key=(?<s3_key>[^\s|]+)""
| rex field=_raw ""filename=(?<filename>[^\s|]+)""

| eval finding_category=case(
    eventName=""PutBucketAct"" AND userIdentity.userName=""bstoll"", ""MAIN COMPROMISE EVENT"",
    sourcetype=""aws:s3:accesslogs"" AND bucket=""frothlywebcode"" AND http_method=""PUT"", ""DATA EXFILTRATION"",
    match(processor, ""E5-2676""), ""INFRASTRUCTURE DETAIL"",
    match(endpoint, ""BSTOLL-L\.froth\.ly""), ""SUSPECT ENDPOINT ACTIVITY"",
    true(), ""BACKGROUND CONTEXT""
)

| eval finding_summary=case(
    finding_category=""MAIN COMPROMISE EVENT"",
        ""Bud (bstoll) executed PutBucketAct on "" + requestParameters.bucketName + "" (Event: "" + eventID + "")"",
    finding_category=""DATA EXFILTRATION"",
        ""File uploaded to S3: "" + coalesce(filename, s3_key),
    finding_category=""INFRASTRUCTURE DETAIL"",
        ""Web server processor identified: "" + replace(processor, ""^.*(E5-\d+).*$"", ""\1""),
    finding_category=""SUSPECT ENDPOINT ACTIVITY"",
        ""Primary suspect workstation identified: "" + endpoint + "" (Belongs to bstoll)"",
    true(), data_source + "" log entry""
)

| eval evidence_chain=case(
    eventID=""ab45689d-69cd-41e7-8705-5350402cf7ac"", ""PUT 1: Initial bucket modification"",
    filename=""OPEN_BUCKET_PLEASE_FIX.txt"", ""PUT 2: Malicious file upload"",
    endpoint=""BSTOLL-L.froth.ly"", ""PUT 3: Source endpoint identification""
)

| eval investigation_notes=case(
    match(finding_summary, ""Bud""), ""**CRITICAL** - User bstoll made S3 bucket public"",
    match(finding_summary, ""OPEN_BUCKET""), ""**CRITICAL** - Malicious file uploaded"",
    match(finding_summary, ""BSTOLL-L""), ""**KEY FINDING** - Suspect workstation identified"",
    match(finding_summary, ""E5-2676""), ""**CONTEXT** - Infrastructure detail"",
    true(), ""Supporting evidence""
)

| search finding_category!=""BACKGROUND CONTEXT"" OR evidence_chain=""*""
| stats 
    earliest(timeline) as First_Seen,
    latest(timeline) as Last_Seen,
    values(finding_summary) as Findings,
    values(evidence_chain) as Evidence_Chain,
    values(investigation_notes) as Priority
    by finding_category
| sort finding_category
| table finding_category, Findings, Evidence_Chain, First_Seen, Last_Seen, Priority
| rename 
    finding_category as ""Investigation Category"",
    Findings as ""Key Evidence"",
    Evidence_Chain as ""Attack Sequence"",
    Priority as ""Investigation Priority""'"
2025-12-12T20:56:34.165+0800,kimjoe,search,"'search index=botsv3 
| eval case_id=""INV-2024-BUD-S3-COMPROMISE""
| eval timeline=strftime(_time, ""%Y-%m-%d %H:%M:%S"")
| eval data_source=case(
    match(sourcetype, ""cloudtrail""), ""AWS CloudTrail"",
    match(sourcetype, ""s3:accesslogs""), ""S3 Access Logs"", 
    match(sourcetype, ""hardware""), ""System Inventory"",
    match(sourcetype, ""WinEventLog""), ""Windows Security Logs"",
    true(), sourcetype
)

| rex field=_raw ""CPU_TYPE\s+(?<processor>.+)""
| rex field=_raw ""ComputerName=(?<endpoint>[^\s|]+)""
| rex field=_raw ""key=(?<s3_key>[^\s|]+)""
| rex field=_raw ""filename=(?<filename>[^\s|]+)""

| eval finding_category=case(
    eventName=""PutBucketAct"" AND userIdentity.userName=""bstoll"", ""MAIN COMPROMISE EVENT"",
    sourcetype=""aws:s3:accesslogs"" AND bucket=""frothlywebcode"" AND http_method=""PUT"", ""DATA EXFILTRATION"",
    match(processor, ""E5-2676""), ""INFRASTRUCTURE DETAIL"",
    match(endpoint, ""BSTOLL-L\.froth\.ly""), ""SUSPECT ENDPOINT ACTIVITY"",
    true(), ""BACKGROUND CONTEXT""
)

| eval finding_summary=case(
    finding_category=""MAIN COMPROMISE EVENT"",
        ""Bud (bstoll) executed PutBucketAct on "" + requestParameters.bucketName + "" (Event: "" + eventID + "")"",
    finding_category=""DATA EXFILTRATION"",
        ""File uploaded to S3: "" + coalesce(filename, s3_key),
    finding_category=""INFRASTRUCTURE DETAIL"",
        ""Web server processor identified: "" + replace(processor, ""^.*(E5-\d+).*$"", ""\1""),
    finding_category=""SUSPECT ENDPOINT ACTIVITY"",
        ""Primary suspect workstation identified: "" + endpoint + "" (Belongs to bstoll)"",
    true(), data_source + "" log entry""
)

| eval evidence_chain=case(
    eventID=""ab45689d-69cd-41e7-8705-5350402cf7ac"", ""PUT 1: Initial bucket modification"",
    filename=""OPEN_BUCKET_PLEASE_FIX.txt"", ""PUT 2: Malicious file upload"",
    endpoint=""BSTOLL-L.froth.ly"", ""PUT 3: Source endpoint identification""
)

| eval investigation_notes=case(
    match(finding_summary, ""Bud""), ""**CRITICAL** - User bstoll made S3 bucket public"",
    match(finding_summary, ""OPEN_BUCKET""), ""**CRITICAL** - Malicious file uploaded"",
    match(finding_summary, ""BSTOLL-L""), ""**KEY FINDING** - Suspect workstation identified"",
    match(finding_summary, ""E5-2676""), ""**CONTEXT** - Infrastructure detail"",
    true(), ""Supporting evidence""
)

| search finding_category!=""BACKGROUND CONTEXT"" OR evidence_chain=""*""
| stats 
    earliest(timeline) as First_Seen,
    latest(timeline) as Last_Seen,
    values(finding_summary) as Findings,
    values(evidence_chain) as Evidence_Chain,
    values(investigation_notes) as Priority
    by finding_category
| sort finding_category
| table finding_category, Findings, Evidence_Chain, First_Seen, Last_Seen, Priority
| rename 
    finding_category as ""Investigation Category"",
    Findings as ""Key Evidence"",
    Evidence_Chain as ""Attack Sequence"",
    Priority as ""Investigation Priority""'"
2025-12-12T20:35:54.272+0800,kimjoe,search,"'search index=botsv3 sourcetype=aws:cloudtrail eventName=""PutBucketAcl"" userIdentity.userName=""bstoll""
| table eventID, requestParameters.bucketName, requestParameters.acl, requestParameters.grantList'"
